company,link,location,title
Cty CP Đầu Tư Phát Triển Công Nghệ Điện Tử Viễn Thông Elcom,http://www.jobstreet.vn/vi/job/ky-su-thiet-ke-he-thong-377823?fr=21&src=16,Hà Nội (Việt Nam),KỸ SƯ THIẾT KẾ HỆ THỐNG
Công ty TNHH Máy và Sản Phẩm Thép Việt,http://www.jobstreet.vn/vi/job/ky-su-co-khi-377702?fr=21&src=16,Hồ Chí Minh (Việt Nam),Kỹ Sư Cơ Khí
CTy TNHH Thương Mại Nam Thành Long,http://www.jobstreet.vn/vi/job/ky-su-co-khi-372591?fr=21&src=16,Hồ Chí Minh (Việt Nam),Kỹ sư cơ khí
Công ty TNHH Cơ khí Xây dựng Phú Gia Bảo,http://www.jobstreet.vn/vi/job/ky-su-co-khi-372589?fr=21&src=16,Hồ Chí Minh (Việt Nam),Kỹ Sư Cơ Khí
RecruitPlus Consulting Pte Ltd,http://www.jobstreet.com.sg/en/job/process-technician-solidworksvernier-calipers-cncup-to-25k-vb-5513883?fr=21&src=16,West - Boon Lay,"PROCESS TECHNICIAN - Solidworks,vernier calipers, CNC(Up to $2.5k + VB)"
Talent Trader Group Pte Ltd,http://www.jobstreet.com.sg/en/job/mechanical-design-engineer-solidworks-creo-pro-e-5502964?fr=21&src=16,West,Mechanical Design Engineer ( Solidworks / CREO / Pro E)
RecruitPlus Consulting Pte Ltd,http://www.jobstreet.com.sg/en/job/assistant-process-technician-solidworksvernier-calipers-cncup-to-25k-5498842?fr=21&src=16,Singapore,"ASSISTANT PROCESS TECHNICIAN - Solidworks,vernier calipers, CNC(Up to $2.5k)"
APBA PTE. LTD.,http://www.jobstreet.com.sg/en/job/mechanical-engineer-1-2-yrs-exp-autocad-and-solidworks-5494796?fr=21&src=16,Ang Mo Kio (North-East),MECHANICAL ENGINEER - 1-2 YRS EXP - AUTOCAD AND SOLIDWORKS
PT Tech Pack Asia,http://www.jobstreet.co.id/id/job/mold-specialist-1991445?fr=21&src=16,Surabaya (Jawa Timur),Mold Specialist
PT Zenith Allmart Precisindo,http://www.jobstreet.co.id/id/job/workshop-machining-manager-1990495?fr=21&src=16,Sidoarjo (Jawa Timur),Workshop Machining Manager
Sinar Baja Electric,http://www.jobstreet.co.id/id/job/production-supervisor-1989887?fr=21&src=16,Jawa Timur,Production Supervisor
PT YKK AP Indonesia,http://www.jobstreet.co.id/id/job/testing-engineer-rd-1989192?fr=21&src=16,Tangerang (Banten),Testing Engineer (R&D)
Công Ty TNHH Sawoo Tech,http://www.jobstreet.vn/vi/job/nhan-vien-van-hanh-may-cnc-may-cat-day-372415?fr=21&src=16,Hồ Chí Minh (Việt Nam),Nhân Viên Vận Hành Máy CNC (Máy Cắt Dây)
Công Ty TNHH Những Tia Nắng Sớm,http://www.jobstreet.vn/vi/job/interior-designer-371818?fr=21&src=16,Hồ Chí Minh (Việt Nam),INTERIOR DESIGNER
Talent Trader Group Pte Ltd,http://www.jobstreet.com.sg/en/job/mechanical-design-engineer-solidworks-creo-pro-e-5491519?fr=21&src=16,West,Mechanical Design Engineer ( Solidworks / CREO / Pro E)
Talent Trader Group Pte Ltd,http://www.jobstreet.com.sg/en/job/project-engineer-solidwork-hydraulics-5490811?fr=21&src=16,Central,"Project Engineer (Solidwork, Hydraulics)"
RecruitPlus Consulting Pte Ltd,http://www.jobstreet.com.sg/en/job/assistant-process-technician-solidworksvernier-calipers-cncup-to-25k-5487161?fr=21&src=16,West - Boon Lay,"ASSISTANT PROCESS TECHNICIAN - Solidworks,vernier calipers, CNC(Up to $2.5k)"
RecruitPlus Consulting Pte Ltd,http://www.jobstreet.com.sg/en/job/process-technician-solidworksvernier-calipers-cncup-to-25k-vb-5477960?fr=21&src=16,West - Boon Lay,"PROCESS TECHNICIAN - Solidworks,vernier calipers, CNC(Up to $2.5k + VB)"
Halley & Mellowes PTY LTD,http://www.jobstreet.co.id/id/job/drafter-designer-engineering-1986186?fr=21&src=16,Jakarta Selatan (Jakarta Raya),Drafter (Designer - Engineering)
Agensi Pekerjaan Crest Force (M) Sdn Bhd (JTK 1689),http://www.jobstreet.com.my/en/job/mechanical-design-engineer1-5yrs-expsolidworks3d-mandarin-speaker-3096219?fr=21&src=16,Nilai (Negeri Sembilan),"MECHANICAL DESIGN ENGINEER(1-5YRS EXP)(SOLIDWORKS,3D)-MANDARIN SPEAKER"
VA Tech Wabag Philippines Inc,http://www.jobstreet.com.ph/en/job/senior-autocad-operator-6776682?fr=21&src=16,National Capital Reg,SENIOR AUTOCAD OPERATOR
Talent Trader Group Pte Ltd,http://www.jobstreet.com.sg/en/job/mechanical-design-engineer-solidworks-creo-pro-e-5475744?fr=21&src=16,West,Mechanical Design Engineer (Solidworks / CREO / Pro E)
Engineering Computer Services (S) Pte Ltd,http://www.jobstreet.com.sg/en/job/application-engineer-5517537?fr=21&src=16,Kallang (Central),Application Engineer
HOPE Technik Pte Ltd,http://www.jobstreet.com.sg/en/job/mechanical-engineer-5502914?fr=21&src=16,West,MECHANICAL ENGINEER
Fagerdala Singapore Pte Ltd,http://www.jobstreet.com.sg/en/job/automation-engineer-5492985?fr=21&src=16,West,Automation Engineer
Agensi Pekerjaan Crest Force (M) Sdn Bhd (JTK 1689),http://www.jobstreet.com.my/en/job/mechanical-design-engineer1-5yrs-expsolidworks3d-mandarin-speaker-3086047?fr=21&src=16,Nilai (Negeri Sembilan),MECHANICAL DESIGN ENGINEER(1-5YRS EXP)(SOLIDWORKS / 3D)-MANDARIN SPEAKER
Ryco Hydraulics Sdn Bhd,http://www.jobstreet.com.my/en/job/process-engineer-3110080?fr=21&src=16,Kedah,Process Engineer
P&B Metal Components (Asia) Sdn Bhd,http://www.jobstreet.com.my/en/job/tooling-engineer-3103688?fr=21&src=16,Johor,Tooling Engineer
Tong Seng Fabricators Sdn Bhd,http://www.jobstreet.com.my/en/job/draftsperson-3109000?fr=21&src=16,"Johor - Johor Bahru, Kempas",Draftsperson
TRANSNATIONAL SERVICES INC.,http://www.jobstreet.com.ph/en/job/autocad-draftsman-6777419?fr=21&src=16,Saudi Arabia - Riyadh,Autocad Draftsman
SANYUTECHNOS PHILIPPINES INC.,http://www.jobstreet.com.ph/en/job/autocad-operator-civil-scope-6760523?fr=21&src=16,Makati City  (National Capital Reg),Autocad Operator (Civil Scope)
"E.H. Sison Engineers, Co.",http://www.jobstreet.com.ph/en/job/autocad-operator-6774898?fr=21&src=16,National Capital Reg - Makati City,Autocad Operator
Microcadd Institute Incorporated,http://www.jobstreet.com.ph/en/job/autocad-instructor-6744161?fr=21&src=16,National Capital Reg,AUTOCAD INSTRUCTOR
Epcos Sdn Bhd,http://www.jobstreet.com.sg/en/job/rd-engineer-3099858/origin/my?fr=21&src=16,Johor (Malaysia) - Terbau IV,R&D Engineer
K-ONE INDUSTRIES PTE LTD,http://www.jobstreet.com.sg/en/job/software-engineer-5427084?fr=21&src=16,West,Software Engineer
Access Personnel Worldwide Pte Ltd,http://www.jobstreet.com.sg/en/job/manufacturing-assistant-engineer-us-mnc-woodlands-2500-ref-ja-5468172?fr=21&src=16,North,Manufacturing Assistant Engineer (US MNC) @ Woodlands ($2500) Ref: JA
Mass Power Services Pte Ltd,http://www.jobstreet.com.sg/en/job/mechanical-design-engineer-north5-days-workindustrial-automation-5493315?fr=21&src=16,Central,Mechanical Design Engineer (North / 5 days work / Industrial Automation)
Getech Automation Pte Ltd,http://www.jobstreet.com.sg/en/job/senior-mechanical-design-engineers-5516048?fr=21&src=16,Woodlands (North),Senior Mechanical Design Engineers
Goldprint Enterprise Pte Ltd,http://www.jobstreet.com.my/en/job/machine-technician-5483259/origin/sg?fr=21&src=16,West (Singapore) - Bukit Batok,Machine Technician
Karotex Sdn Bhd,http://www.jobstreet.com.my/en/job/junior-designer-3106804?fr=21&src=16,Selangor - Nilai,Junior Designer
MI Equipment (M) Sdn. Bhd.,http://www.jobstreet.com.my/en/job/mechanical-design-engineer-3104631?fr=21&src=16,Penang - Bayan Lepas,Mechanical Design Engineer
Monzone Manufacturing Sdn Bhd,http://www.jobstreet.com.my/en/job/draft-man-solid-works-3103048?fr=21&src=16,Johor,Draft Man  (Solid works)
Vineyard Construction,http://www.jobstreet.com.ph/en/job/autocad-operator-6751589?fr=21&src=16,Central Visayas,Autocad Operator
"Takumi Space Creation, Inc.",http://www.jobstreet.com.ph/en/job/autocad-operator-6766129?fr=21&src=16,National Capital Reg - Makati City,Autocad Operator
Dempsey Resource Management Inc.,http://www.jobstreet.com.ph/en/job/cadautocad-operator-banawe-quezon-city-6772246?fr=21&src=16,Quezon City  (National Capital Reg) - BANAWE,CAD / AUTOCAD OPERATOR (BANAWE QUEZON CITY)
"St. Francis Square Holdings, Inc.",http://www.jobstreet.com.ph/en/job/autocad-operator-renderer-6772242?fr=21&src=16,"National Capital Reg - Ortigas Center, Mandaluyong City",Autocad Operator - Renderer
Innosparks Pte Ltd,http://www.jobstreet.com.sg/en/job/senior-industrial-design-engineer-ref-insgogt6-5516125?fr=21&src=16,Singapore,Senior / Industrial Design Engineer - Ref: INS / GO / GT6
PMET Strategy Resources Pte Ltd,http://www.jobstreet.com.sg/en/job/lead-engineer-for-new-product-introduction-5508115?fr=21&src=16,Kallang (Central),Lead Engineer for New Product Introduction
Hittech WeMac Sdn Bhd,http://www.jobstreet.com.my/en/job/process-engineer-asst-process-engineer-3101162?fr=21&src=16,Bukit Mertajam (Penang) - Kawasan Perindustrian Bukit Minyak,Process Engineer / Asst Process Engineer
Yew Lee Metal Works Sdn Bhd,http://www.jobstreet.com.my/en/job/draughtsman-draftsman-draftsperson-3100850?fr=21&src=16,Johor - BATU PAHAT,Draughtsman / Draftsman / Draftsperson
Karotex Sdn Bhd,http://www.jobstreet.com.my/en/job/senior-designer-3099815?fr=21&src=16,Selangor - Nilai,Senior Designer
Ryco Hydraulics Sdn Bhd,http://www.jobstreet.com.my/en/job/process-engineer-3098964?fr=21&src=16,Kedah,Process Engineer
Devex Incorporated,http://www.jobstreet.com.ph/en/job/autocad-operator-6770162?fr=21&src=16,National Capital Reg - Mandaluyong City,Autocad Operator
HIMAWARI INT`L. PROMOTION INC.,http://www.jobstreet.com.ph/en/job/autocad-draftsman-6769833?fr=21&src=16,Saudi Arabia - Riyadh,AUTOCAD DRAFTSMAN
ASIA SYSTEM INC.,http://www.jobstreet.com.ph/en/job/draftsman-autocad-6769445?fr=21&src=16,Kuwait - JAHRA,Draftsman- Autocad
ASIA SYSTEM INC.,http://www.jobstreet.com.ph/en/job/production-draftsmanautocad-designer-6769427?fr=21&src=16,Kuwait - SALMIYA,PRODUCTION DRAFTSMAN / AUTOCAD DESIGNER
OSRAM Opto Semiconductors (Malaysia) Sdn Bhd,http://www.jobstreet.com.my/en/job/specialist-senior-engineer-led-package-design-simulation-3098145?fr=21&src=16,Penang - Bayan Lepas,Specialist / Senior Engineer - LED Package Design & Simulation
Asli Mechanical Sdn Bhd,http://www.jobstreet.com.my/en/job/product-engineer-3098017?fr=21&src=16,Selangor - Rawang,Product Engineer
Eonmetall Group Bhd,http://www.jobstreet.com.my/en/job/mechanical-designer-3095244?fr=21&src=16,Penang - Sungai Bakap,Mechanical Designer
Bestworld Engineering Sdn Bhd,http://www.jobstreet.com.my/en/job/designer-draftsman-3095059?fr=21&src=16,Penang,Designer / Draftsman
MORI INTERNATIONAL AGENCY CORPORATION,http://www.jobstreet.com.ph/en/job/autocad-draftsman-6769189?fr=21&src=16,Saudi Arabia - Riyadh,Autocad Draftsman
RS Carson Gen. Construction Corp,http://www.jobstreet.com.ph/en/job/autocad-operator-6768098?fr=21&src=16,National Capital Reg,Autocad Operator
Jubilee Alliance Inc.,http://www.jobstreet.com.ph/en/job/autocad-operator-6768052?fr=21&src=16,National Capital Reg,Autocad Operator
LBP Service Corporation,http://www.jobstreet.com.ph/en/job/autocad-operators-6767428?fr=21&src=16,National Capital Reg - Ortigas,Autocad Operators
Malaysian Die-Casting Industries Sdn Bhd,http://www.jobstreet.com.my/en/job/senior-development-engineer-3089470?fr=21&src=16,"Selangor - Seksyen 26, Shah Alam",Senior Development Engineer
Epcos Sdn Bhd,http://www.jobstreet.com.my/en/job/rd-engineer-asst-engineer-3088406?fr=21&src=16,Johor - Terbau IV,R&D Engineer / Asst Engineer
AFA Technologies Sdn Bhd,http://www.jobstreet.com.my/jobs/2016/10/default/10/3085884.htm?fr=21&src=16,Melaka,Internship for Engineering Students
Do-All Metal Industries & General Construction Corporation,http://www.jobstreet.com.ph/en/job/autocad-operator-6766954?fr=21&src=16,National Capital Reg,AUTOCAD OPERATOR
"L+H Automation, Inc.",http://www.jobstreet.com.ph/en/job/it-staff-web-designer-developer-multimedia-artist-autocad-6766821?fr=21&src=16,National Capital Reg,IT STAFF - WEB DESIGNER-DEVELOPER - MULTIMEDIA ARTIST - AUTOCAD
"UNITED GLOBAL MANPOWER RESOURCES, INC.",http://www.jobstreet.com.ph/en/job/senior-autocad-draftsmen-6763624?fr=21&src=16,Qatar - Doha,SENIOR AUTOCAD DRAFTSMEN
Singapore Institute of Manufacturing Technology (SIMTech),http://www.jobstreet.com.sg/en/job/research-fellow-mrf-ref-fy16049ftg-5444953?fr=21&src=16&srcr=16,West,Research Fellow - MRF Ref FY16049 / FTG
Singapore Technologies Electronics Limited,http://www.jobstreet.com.sg/en/job/mechanical-engineer-ref-lsgdbume03-5488304?fr=21&src=16&srcr=16,Yishun (North),Mechanical Engineer - Ref: LSG / DBU / ME03
Singapore Technologies Electronics Limited,http://www.jobstreet.com.sg/en/job/electrical-engineer-ref-lsgdbuee02-5488287?fr=21&src=16&srcr=16,Yishun (North),Electrical Engineer - Ref: LSG / DBU / EE02
Company Confidential,http://www.jobstreet.com.sg/en/job/engineering-specialist-5481651?fr=21&src=16&srcr=16,North,Engineering Specialist
JTE Recruit Pte Ltd,http://www.jobstreet.com.sg/en/job/mechanical-design-engineer-factory-automation-up-4000-5-days-2-5-yrs-exp-5514142?fr=21&src=16&srcr=16,West (Singapore),Mechanical Design Engineer (Factory Automation / UP $4000 / 5 Days / 2-5 Yrs Exp
Talent Trader Group Pte Ltd,http://www.jobstreet.com.sg/en/job/drafterdraughtsman-constructionelevator-5514202?fr=21&src=16&srcr=16,Singapore,Drafter / Draughtsman (Construction / Elevator)
Talent Trader Group Pte Ltd,http://www.jobstreet.com.sg/en/job/drafterdraughtsman-constructionelevator-5511645?fr=21&src=16&srcr=16,Singapore,Drafter / Draughtsman (Construction / Elevator)
Talent Trader Group Pte Ltd,http://www.jobstreet.com.sg/en/job/production-engineer-metal-die-casting-precision-aerospace-manufacturing-5512730?fr=21&src=16&srcr=16,Singapore,Production Engineer (Metal / Die Casting / Precision / Aerospace / Manufacturing)
RecruitPlus Consulting Pte Ltd,http://www.jobstreet.com.sg/en/job/life-cycle-engineer-up-to-4000-aws-vb-5513269?fr=21&src=16&srcr=16,"Jurong East (West, Singapore)","Life Cycle Engineer, Up to $4000 + AWS + VB"
Inventit Technology Pte Ltd,http://www.jobstreet.com.sg/en/job/equipment-design-engineer-senior-design-engineer-5496862?fr=21&src=16&srcr=16,West,EQUIPMENT DESIGN ENGINEER / SENIOR DESIGN ENGINEER
Systmz Pte Ltd,http://www.jobstreet.com.sg/en/job/drafter-5488400?fr=21&src=16&srcr=16,West,Drafter
Singapore Technologies Kinetics Ltd,http://www.jobstreet.com.sg/en/job/design-engineer-ref-kdmsclet-5483363?fr=21&src=16&srcr=16,Singapore,Design Engineer - Ref: KDM / SC / LET
DORMA PRODUCTION GMBH & CO KG,http://www.jobstreet.com.sg/en/job/life-cycle-engineer-5494493?fr=21&src=16&srcr=16,West,Life Cycle Engineer
ST Electronics (Satcom & Sensor Systems) Pte Ltd,http://www.jobstreet.com.sg/en/job/engineer-icit-ref-ssspmd20-5510912?fr=21&src=16&srcr=16,Singapore,Engineer (ICIT) - Ref: SSS / PMD / 20)
StarMedia Singapore Pte Ltd,http://www.jobstreet.com.sg/en/job/asst-engineer-production-5509654?fr=21&src=16&srcr=16,North-East,Asst. Engineer (Production)
D&K Engineering Pte Ltd,http://www.jobstreet.com.sg/en/job/senior-rd-mechanical-engineer-5509492?fr=21&src=16&srcr=16,West,Senior R&D Mechanical Engineer
Advanced Remanufacturing and Technology Centre (ARTC),http://www.jobstreet.com.sg/en/job/automation-industrial-engineer-industry-40-5492165?fr=21&src=16&srcr=16,West,Automation Industrial Engineer (Industry 4.0)
Advanced Remanufacturing and Technology Centre (ARTC),http://www.jobstreet.com.sg/en/job/development-industrial-engineer-5491755?fr=21&src=16&srcr=16,West,Development Industrial Engineer
Singapore Institute of Manufacturing Technology (SIMTech),http://www.jobstreet.com.sg/en/job/research-fellow-mrf-ref-fy16049ftg-5481786?fr=21&src=16&srcr=16,West,Research Fellow - MRF Ref FY16049 / FTG
Advanced Material Engineering Pte Ltd,http://www.jobstreet.com.sg/en/job/process-engineering-technical-assistant-2-yrs-contract-ref-amepodmcasbssk-5481640?fr=21&src=16&srcr=16,Singapore,Process Engineering Technical Assistant [2 yrs Contract] - Ref: AME / POD / MCA / SB / SSK
Công Ty TNHH Sản Xuất & Thương Mại Tân Á,http://www.jobstreet.vn/vi/job/ky-su-thiet-ke-co-khi-371675?fr=21&src=16&srcr=16,Hà Nội (Việt Nam) - Nhà máy Tân Á Đại Thành Hưng Yên,Kỹ Sư Thiết Kế Cơ Khí
Công Ty TNHH Những Tia Nắng Sớm,http://www.jobstreet.vn/vi/job/retail-design-director-371824?fr=21&src=16&srcr=16,Hồ Chí Minh (Việt Nam),RETAIL DESIGN DIRECTOR
Công Ty Cổ Phần Gỗ Tân Thành,http://www.jobstreet.vn/vi/job/nhan-vien-ve-cad-366713?fr=21&src=16&srcr=16,Bình Dương (Việt Nam),Nhân Viên Vẽ CAD
"Văn Phòng Đại Diện Kevcomp, Inc tại TP.HCM (Hoa Kỳ)",http://www.jobstreet.vn/vi/job/mechanic-piping-engineer-363911?fr=21&src=16&srcr=16,Hồ Chí Minh (Việt Nam),Mechanic - Piping Engineer
"Văn Phòng Đại Diện Kevcomp, Inc tại TP.HCM (Hoa Kỳ)",http://www.jobstreet.vn/vi/job/ky-thuat-vien-autocad-363900?fr=21&src=16&srcr=16,Hồ Chí Minh (Việt Nam),Kỹ Thuật Viên AutoCAD
"UNITED GLOBAL MANPOWER RESOURCES, INC.",http://www.jobstreet.com.ph/en/job/autocad-draftsmen-6763621?fr=21&src=16&srcr=16,Qatar - Doha,AUTOCAD DRAFTSMEN
Electro-Systems Industries Corporation,http://www.jobstreet.com.ph/en/job/autocad-operator-6763175?fr=21&src=16&srcr=16,National Capital Reg,AUTOCAD OPERATOR
E-GMP INTERNATIONAL CORPORATION,http://www.jobstreet.com.ph/en/job/autocad-draftsman-6760894?fr=21&src=16&srcr=16,Saudi Arabia - DAMMAM,AUTOCAD DRAFTSMAN
TEKSKIL CONSTRUCTION CORPORATION,http://www.jobstreet.com.ph/en/job/autocad-operator-6760808?fr=21&src=16&srcr=16,Qatar,AUTOCAD OPERATOR
"East Transglobal Manpower Consultants, Inc.",http://www.jobstreet.com.ph/en/job/autocad-operator-6760698?fr=21&src=16&srcr=16,Qatar - Doha,AUTOCAD OPERATOR
SANYUTECHNOS PHILIPPINES INC.,http://www.jobstreet.com.ph/en/job/autocad-operator-gas-power-chemical-plant-6760514?fr=21&src=16&srcr=16,Makati City  (National Capital Reg),"AutoCAD Operator (Gas, Power, Chemical Plant )"
Primer Group of Companies,http://www.jobstreet.com.ph/en/job/autocad-operator-project-based-6758031?fr=21&src=16&srcr=16,"National Capital Reg - Leon Guinto St. Malate, Manila",AutoCad Operator (Project Based)
"AL ASSAL MANPOWER, INC.",http://www.jobstreet.com.ph/en/job/autocad-operator-6759700?fr=21&src=16&srcr=16,Saudi Arabia - RIYADH,AutoCAD Operator
A & W INTERNATIONAL MANPOWER SERVICES SPECIALIST,http://www.jobstreet.com.ph/en/job/autocad-estimator-facade-designer-6757303?fr=21&src=16&srcr=16,Saudi Arabia - Jeddah,AUTOCAD - ESTIMATOR (Facade Designer)
S&D MANPOWER SERVICES INC,http://www.jobstreet.com.ph/en/job/autocad-2d-3d-6757211?fr=21&src=16&srcr=16,Saudi Arabia - Riyadh,AUTOCAD 2D 3D
Staff Alliance Inc.,http://www.jobstreet.com.ph/en/job/autocad-operator-6755707?fr=21&src=16&srcr=16,National Capital Reg - Makati,AutoCAD Operator
M & J RESOURCES MANPOWER SERVICES INC,http://www.jobstreet.com.ph/en/job/autocad-draftsman-6755056?fr=21&src=16&srcr=16,United Arab Emirates - Dubai,AUTOCAD DRAFTSMAN
"HUMANIA INTERNATIONAL, INC.",http://www.jobstreet.com.ph/en/job/graphic-designer-cum-autocad-6753641?fr=21&src=16&srcr=16,Qatar - Doha,GRAPHIC DESIGNER CUM AUTOCAD
Sincere Construction & Development Corporation,http://www.jobstreet.com.ph/en/job/project-engineer-autocad-operator-warehouseman-6734341?fr=21&src=16&srcr=16,National Capital Reg,Project Engineer / AutoCAD Operator / Warehouseman
EVERLAST INTERNATIONAL PLACEMENTS INC.,http://www.jobstreet.com.ph/en/job/autocad-operator-6749608?fr=21&src=16&srcr=16,Japan,AutoCAD Operator
Company Confidential,http://www.jobstreet.com.ph/en/job/autocad-specialist-6749076?fr=21&src=16&srcr=16,National Capital Reg,Autocad Specialist
"TASH Philippines, Inc.",http://www.jobstreet.com.ph/en/job/autocad-operatordesigner-6745319?fr=21&src=16&srcr=16,National Capital Reg - Makati City,AutoCAD Operator / Designer
Amici Mercantile Inc,http://www.jobstreet.com.ph/en/job/autocad-operator-6738712?fr=21&src=16&srcr=16,Pasig City  (National Capital Reg),Autocad Operator
"Diversified Technology Solutions International, Inc.",http://www.jobstreet.com.ph/en/job/autocad-operator-6746031?fr=21&src=16&srcr=16,National Capital Reg,AutoCAD Operator
"Will Decena & Associates, Inc.",http://www.jobstreet.com.ph/en/job/autocad-operator-designer-6742893?fr=21&src=16&srcr=16,National Capital Reg,Autocad Operator Designer
